_id,createdAt,failedAt,failedAtDate,unitNumber,hostName,failureReason,currentTemp,setpointTemp,minSupplyTemp,runStartTime,runEndTime,runDurationMin
685e757e08ecde81bd5ca289,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,alder-atlantawestend,stage_1_fail,72.6,72,72,2025-06-26T15:33:35.000Z,2025-06-26T15:59:52.000Z,26.3
685e757e08ecde81bd5ca292,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,alder-greenbriar,stage_2_fail,74.1,71,61,2025-06-26T12:00:25.000Z,2025-06-26T15:59:55.000Z,239.5
685e757e08ecde81bd5ca2a4,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,easy-athens,stage_2_fail,72.8,68,71,2025-06-26T12:00:34.000Z,2025-06-26T15:37:35.000Z,217
685e757e08ecde81bd5ca2dc,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,alder-wonderland,stage_1_fail,69.4,70,70,2025-06-26T12:00:17.000Z,2025-06-26T15:13:36.000Z,193.3
685e757e08ecde81bd5ca2e5,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,core-maynard,stage_1_fail,70.8,70,67,2025-06-26T13:12:24.000Z,2025-06-26T15:59:31.000Z,167.1
685e757e08ecde81bd5ca2e9,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,core-reading,stage_1_fail,71,70,50,2025-06-26T12:00:32.000Z,2025-06-26T15:56:49.000Z,236.3
685e757e08ecde81bd5ca300,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,epic-chesterfield,stage_1_fail,72.6,72,70,2025-06-26T12:00:26.000Z,2025-06-26T16:00:00.000Z,239.6
685e757e08ecde81bd5ca301,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,epic-commerce-twp,stage_1_fail,71.3,72,68,2025-06-26T12:00:20.000Z,2025-06-26T15:41:49.000Z,221.5
685e757e08ecde81bd5ca312,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,epic-grandrapids,stage_1_fail,70.3,70,64,2025-06-26T13:00:52.000Z,2025-06-26T15:59:43.000Z,178.8
685e757e08ecde81bd5ca314,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,16,epic-grandrapids2,stage_1_fail,73.2,72,50,2025-06-26T12:00:16.000Z,2025-06-26T16:00:00.000Z,239.7
685e757e08ecde81bd5ca325,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,epic-mt,stage_1_fail,73.2,72,59,2025-06-26T12:00:26.000Z,2025-06-26T15:59:30.000Z,239.1
685e757e08ecde81bd5ca328,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,2,epic-oakpark,stage_1_fail,72.8,72,57,2025-06-26T12:00:38.000Z,2025-06-26T15:57:45.000Z,237.1
685e757e08ecde81bd5ca32f,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,epic-redford,stage_2_fail,69.6,69,63,2025-06-26T15:16:33.000Z,2025-06-26T15:59:27.000Z,42.9
685e757e08ecde81bd5ca335,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,epic-royaloak,stage_1_fail,72.3,72,60,2025-06-26T12:00:03.000Z,2025-06-26T15:59:15.000Z,239.2
685e757e08ecde81bd5ca33e,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,epic-southfield,stage_2_fail,73.5,73,71,2025-06-26T15:58:22.000Z,2025-06-26T15:59:20.000Z,1
685e757e08ecde81bd5ca345,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,epic-troy,stage_2_fail,75.9,72,75,2025-06-26T12:00:22.000Z,2025-06-26T15:59:19.000Z,238.9
685e757e08ecde81bd5ca34f,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,epic-warren,stage_1_fail,72.8,72,59,2025-06-26T12:00:54.000Z,2025-06-26T15:57:38.000Z,236.7
685e757e08ecde81bd5ca350,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,6,epic-warren,stage_1_fail,72.5,72,68,2025-06-26T12:01:01.000Z,2025-06-26T15:51:18.000Z,230.3
685e757e08ecde81bd5ca377,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,3,corp-freehold,stage_2_fail,68.7,68,67,2025-06-26T12:00:09.000Z,2025-06-26T15:57:54.000Z,237.8
685e757e08ecde81bd5ca37e,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,5,corp-shrewsbury-nj,stage_2_fail,71.9,68,54,2025-06-26T12:02:59.000Z,2025-06-26T15:56:50.000Z,233.8
685e757e08ecde81bd5ca393,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,corp-kingston,stage_2_fail,71.6,70,69,2025-06-26T12:05:35.000Z,2025-06-26T15:59:54.000Z,234.3
685e757e08ecde81bd5ca398,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,7,corp-lakeronkonkoma,stage_2_fail,70.8,68,73,2025-06-26T12:00:05.000Z,2025-06-26T15:59:52.000Z,239.8
685e757e08ecde81bd5ca39a,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,4,corp-levittown,stage_1_fail,69.3,68,58,2025-06-26T12:00:01.000Z,2025-06-26T15:59:49.000Z,239.8
685e757e08ecde81bd5ca3b0,2025-06-27T10:42:06.334Z,2025-06-26T16:00:00.000Z,2025-06-26,1,nat-lenoir,stage_2_fail,70.7,69,69,2025-06-26T12:00:25.000Z,2025-06-26T15:59:12.000Z,238.8
